dataset,outer_fold,K_manifest,source_classes_represented,target_classes_represented,missing_source_classes,missing_target_classes,source_class_complete,target_class_complete,split_version,phase7_dataset
aps_failure,0,2,2,2,[],[],True,True,original_phase2,False
aps_failure,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
aps_failure,1,2,2,2,[],[],True,True,original_phase2,False
aps_failure,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
aps_failure,2,2,2,2,[],[],True,True,original_phase2,False
aps_failure,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
aps_failure,3,2,2,2,[],[],True,True,original_phase2,False
aps_failure,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
aps_failure,4,2,2,2,[],[],True,True,original_phase2,False
aps_failure,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
balance_scale,0,3,3,3,[],[],True,True,original_phase2,False
balance_scale,0,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
balance_scale,1,3,3,3,[],[],True,True,original_phase2,False
balance_scale,1,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
balance_scale,2,3,3,3,[],[],True,True,original_phase2,False
balance_scale,2,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
balance_scale,3,3,3,3,[],[],True,True,original_phase2,False
balance_scale,3,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
balance_scale,4,3,3,3,[],[],True,True,original_phase2,False
balance_scale,4,3,3,3,[],[],True,True,hypothesis_y1_corrected,False
bank_marketing,0,2,2,2,[],[],True,True,original_phase2,False
bank_marketing,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
bank_marketing,1,2,2,2,[],[],True,True,original_phase2,False
bank_marketing,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
bank_marketing,2,2,2,2,[],[],True,True,original_phase2,False
bank_marketing,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
bank_marketing,3,2,2,2,[],[],True,True,original_phase2,False
bank_marketing,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
bank_marketing,4,2,2,2,[],[],True,True,original_phase2,False
bank_marketing,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
banknote_authentication,0,2,2,2,[],[],True,True,original_phase2,False
banknote_authentication,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
banknote_authentication,1,2,2,2,[],[],True,True,original_phase2,False
banknote_authentication,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
banknote_authentication,2,2,2,2,[],[],True,True,original_phase2,False
banknote_authentication,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
banknote_authentication,3,2,2,2,[],[],True,True,original_phase2,False
banknote_authentication,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
banknote_authentication,4,2,2,2,[],[],True,True,original_phase2,False
banknote_authentication,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,False
breast_cancer_wisconsin_diagnostic,0,2,2,2,[],[],True,True,original_phase2,True
breast_cancer_wisconsin_diagnostic,0,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
breast_cancer_wisconsin_diagnostic,1,2,2,2,[],[],True,True,original_phase2,True
breast_cancer_wisconsin_diagnostic,1,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
breast_cancer_wisconsin_diagnostic,2,2,2,2,[],[],True,True,original_phase2,True
breast_cancer_wisconsin_diagnostic,2,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
breast_cancer_wisconsin_diagnostic,3,2,2,2,[],[],True,True,original_phase2,True
breast_cancer_wisconsin_diagnostic,3,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
breast_cancer_wisconsin_diagnostic,4,2,2,2,[],[],True,True,original_phase2,True
breast_cancer_wisconsin_diagnostic,4,2,2,2,[],[],True,True,hypothesis_y1_corrected,True
