mechanism,supporting evidence,contradictory evidence,datasets supporting,families supporting,effect magnitude,confidence,would it invalidate Phase 7?,does it justify new hypothesis?,untouched test required?
Phase-7 evaluator implementation bug,Post-label evaluator rewrite created opportunity for error.,Independent evaluator reproduces all headline values/verdict within 1e-12.,none,none,max headline absolute difference <= 8.4e-17,high confidence rejected,No,No,No
non-convergence contaminated structural signals,635/4500 usable rows lacked both convergence; Letter 0/375 both.,S3 still has P4=0.0534 vs P0=0.0497.,Letter dominant,mixed,S3 P0-P4=-0.0037,high defect; high no-rescue,Defect yes; conclusion no,No,Corrected run completed
duplicate leakage contaminated folds,"Phase7 leakage in glass, iris, letter_recognition, spambase; max Phase7 rate 0.1194.","Duplicate-corrected P0=0.0427, P4=0.0465.","glass, iris, letter_recognition, spambase",all families affected through datasets,corrected P0-P4=-0.0039,high,Only if corrected reversal; observed in report,No,Completed on same panel
missing target classes invalidated folds,Four Phase7 target folds: Glass 0/2 and Mice 1/4.,All Phase7 corrected folds cover K; joint corrected result does not rescue premise.,"Glass, Mice",not family-specific,4/60 original folds,high,Local folds yes; overall conclusion no,No,Completed on same panel
raw validity controls were unfair,P3 used levels while P4 used changes.,"Fair-delta LODO=0.0456, but median no-skill=0.0380 and LOSFO=0.0493.",7/12 beat P0,3/7 beat P0,LODO gain vs P0=0.0011,moderate,Comparator fairness only,No,Yes for any future validity hypothesis
raw structural signals are dataset-specific,Strong metadata correlations and inconsistent within/cross directions.,Only ['satimage'] helps in both; some family wins exist.,"6/12 within help, 5/12 cross help",4/7 P4 vs P0,same direction 3/12,high,No,No coherent repeat,Would require untouched data
D_V contains real transferable signal,Within-dataset rho up to 0.392 Letter and 0.316 Mice.,Overall rho=0.054; negative Sonar/Spambase; no D_V-only model selected.,"Letter, Mice",outliers strongest rho 0.242,overall rho 0.054,low,No,No,Yes if separately preregistered
D_H destroys transfer,D_H correlates with source entropy and can lose direction.,"Source-relative P4 LODO=0.0510, essentially no better than P4=0.0509.",mixed,sign changes across families,delta MAE=0.000066,high confidence rejected as sole cause,No,No,No
dimension-adaptive fuzzification causes instability,Letter/high K is dominant convergence pathology; signal levels relate to D/effective m.,Failures also occur from D=4 to 561 and K=2 to 26; no numerical/degenerate failures.,Letter strongest,not isolated,153/161 sampled failures converge by 600,moderate,No,No,Would need fixed-m preregistered comparison
exact Delta ARI regression is unsuitable,All learned frozen HGBR R2 values are negative and median no-skill wins MAE.,Signed magnitude remains a legitimate estimand if a model has skill.,all pooled,all pooled,P4 R2=-0.187,high for current model,No,No,Only after new target justification
risk ranking works while magnitude regression fails,P4 ranking rho=0.042.,"P4 AUROC at ΔARI>.05=0.184, balanced accuracy=0.500.",none coherent,none coherent,near-zero/anti-skill,high confidence rejected,No,No,No
classification labels are poor cluster truth,Construct tiers A/B/C=4/8/42.,ARI still valid for explicitly framed external class-recovery stress tests.,only Iris tier A in Phase7,all controlled families,42/54 tier C,high,"Invalidates broad natural-cluster claim, not computed comparison",No,Use latent-ground-truth synthetics
structural signals are genuinely weak,"P4 loses P0 overall, median no-skill wins, structural rho values <= 0.128 overall.",P4 wins selected datasets/families and D_M has modest positive association.,heterogeneous,heterogeneous,original P0-P4=-0.0042,high for tested formulation,No,No,No automatic continuation
dataset generalization differs from shift-family generalization,LODO P4 loses P0 while LOSFO P4 slightly beats P0; P3 relation also reverses.,Both learned evaluations lose grouped median no-skill and bootstrap evidence is weak.,5/12 P4 wins,4/7 P4 wins,LODO Δ=-0.0042; LOSFO Δ=0.0016,high descriptive,No,No,Would require independent datasets and families
signal redundancy hurts model transfer,D_U_R/D_U_C Spearman=0.971; VIFs about 15 and 18.,Tree models can tolerate correlated predictors; redundancy is not causal proof.,all,all,rho 0.971,moderate,No,No,No unless mechanism specified
