analysis_scope,outer_eval_type,outer_test_group,feature_block,regressor,candidate_params,inner_fold,inner_training_group_sha256,inner_validation_group_sha256,inner_fold_mae,mean_candidate_mae,selected,tie_status
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",0,62090a8afbc31079a317bd5dbc5833fac05f0708661cd72c87288bd3dd5e34d3,cbe8ecd1a15df22b805d2806a7596c97a1555a11b39823c091c73a94a607f384,0.044616614980177244,0.03624527619322667,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",1,ac6ccf8f05329d01b9baf626aa6150a3038340467f3a3230d43f2c6a58074b38,ec128567e1174ec210fbea395609988725b9204a21409983e84963513da41c65,0.03150349388868355,0.03624527619322667,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",2,1baf98c56d1c8c018fb06aa08c3ee9b3de31dbf949e4b2598882004f82a4c164,dc6538f21711c9b1285379cb73c32ce3903c3cb095363512eacb28e4fdf08629,0.028553398993317904,0.03624527619322667,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",3,c75a3433084127f26859f26d1beda807703c00222b9938a22b373432a017fc1c,66111144c8c43a44260f43c510f33d01d5f7af21204bdb8a72642329a5ad13c8,0.03314832594656316,0.03624527619322667,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 7}",4,0ca3dd2e94aeaac25bc4611b70ebba6547e074678106722acda69d9353d3bbe6,741f563bdb672e9599c488592ee58b3461e2c6f9a5903dc2c5f3fe77b1c9800d,0.043404547157391504,0.03624527619322667,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",0,62090a8afbc31079a317bd5dbc5833fac05f0708661cd72c87288bd3dd5e34d3,cbe8ecd1a15df22b805d2806a7596c97a1555a11b39823c091c73a94a607f384,0.046228165810003365,0.03795941886428117,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",1,ac6ccf8f05329d01b9baf626aa6150a3038340467f3a3230d43f2c6a58074b38,ec128567e1174ec210fbea395609988725b9204a21409983e84963513da41c65,0.03372330989051054,0.03795941886428117,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",2,1baf98c56d1c8c018fb06aa08c3ee9b3de31dbf949e4b2598882004f82a4c164,dc6538f21711c9b1285379cb73c32ce3903c3cb095363512eacb28e4fdf08629,0.0300980476999015,0.03795941886428117,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",3,c75a3433084127f26859f26d1beda807703c00222b9938a22b373432a017fc1c,66111144c8c43a44260f43c510f33d01d5f7af21204bdb8a72642329a5ad13c8,0.035083477119735695,0.03795941886428117,False,False
primary,LODO,iris,P0,hist_gradient_boosting,"{""l2_regularization"": 0.0, ""learning_rate"": 0.05, ""max_iter"": 150, ""max_leaf_nodes"": 15}",4,0ca3dd2e94aeaac25bc4611b70ebba6547e074678106722acda69d9353d3bbe6,741f563bdb672e9599c488592ee58b3461e2c6f9a5903dc2c5f3fe77b1c9800d,0.04466409380125475,0.03795941886428117,False,False
